benchmark_id,organization,address,city,website,predicted_phone,reference_phone,match_category,confidence_tier,verification_status,how_verified
b99ef19d8311d296,East Metro Youth Services,1200 Markham Rd Ste 200,Toronto,,416-438-3697,416-438-3697 ext 381,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
941153b420f7ad6d,Carlington Community Health Centre - Assertive Community Treatment Team (Addictions),"Carlington Community Health Centre, K1Z 5Z8",Ottawa,,(613) 722-4000,613-722-9731,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
43cc2d2849973d22,Centretown Community Health Centre - Lifestyle Enrichment for Senior Adults,"420 Cooper St, Ottawa, ON K2P 2N6",Ottawa,,(613) 233-4443,613-233-4443 ext 2109,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
d063d28ac726f5fe,Rapport Youth & Family Services,"60 West Dr, Unit 101, Brampton, ON L6T 3T6",Brampton,,(905) 867-8734,905-790-7707,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
b0f69d06d50f50c9,Trans Youth Toronto,519 Church St,Toronto,,(416) 392-6874,416-355-6796,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
b4f9cb9121a4a16b,Mothercraft (Heath St),"Heath St, Toronto, ON, M4V 1T3",Toronto,,(416) 920-3515 ext. 5115,416-920-3515,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
d3e3a313511944d2,Aboriginal Health Centre - Mental Health and Addiction Services,"St Catharines, ON, L2R 2Z9",St Catharines,,(289) 438-1540,289-438-1540 ext 555,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
5d5d425f0a3b3007,No Frills - Loblaw Pharmacy - Toronto - 25 Photography Dr,"25 Photography Dr, Toronto, ON M6M 0A1",Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=120559,+18669876453,416-763-1502,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
7032b58b8583d06e,SmartStart Hub (Surrey Place),"1 Valleybrook Drive, Suite 201, M3B 2S7",Toronto,,(416) 386-9761,1-833-575-5437,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
56ef24e054fd368a,Rexall Pharma Plus - North York - 5150 Yonge St (North York City Centre),"North York City Centre, 5150 Yonge St, Toronto, ON M2N 6L8",Toronto,https://www.torontocentralhealthline.ca/displayService.aspx?id=151745,416-226-6442,416-226-9193,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
0ddc6dca42f5aae8,My Baby & Me (Perinatal & Addictions Clinic),"61 Queen St E, 4th floor",Toronto,,(416) 867-7480,416-867-7421,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
832a52be1ca0ea5a,SCOPE Mental Health Navigator (St. Joseph's Health Centre),SCOPE Mental Health Navigator - St. Joseph's Health Centre,Toronto,,(416) 530-6000,416-603-6418,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
08632eac20ec7dcc,Phoenix Medical Centre - Addictions and Recovery Clinic,"1900 Lakeshore Rd W, Unit 7A",Mississauga,,905-339-0200,905-339-0200 ext 1,same_base_number_extension_or_format,high_confidence_representation,valid_pending_verification,
b4e502fa14ea0a28,Four Villages Community Health Centre (Dundas Site),3446 Dundas St W,Toronto,,416-604-3362,416-604-0640,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
b2b4faa84c5c1429,St. Joseph's Withdrawal Management Center (Glendale House),30 Queensway,Toronto,,1-866-366-9513,416-530-6400,different_number_or_area_code,needs_manual_verification,valid_pending_verification,
ee772f2d54c2761c,Centretown Community Health Centre - Medical Services,"420 Cooper St, Ottawa, ON K2P 2N6",Ottawa,,(613) 233-4443,613-233-4697,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
f134412789473c2a,Shoppers Drug Mart - Brampton - Peel Centre Dr,"Bramalea City Centre, 25 Peel Centre Dr, Unit 379, Brampton, ON L6T 3R5",Brampton,https://www.centralwesthealthline.ca/displayService.aspx?id=60976,(905) 793-4844,905-793-4844 * 905-793-4843,same_area_code_different_number,likely_valid_alternate,valid_pending_verification,
