Address,City,Name,Website,source_url
"200 Fletcher Crescent, Alliston, ON L9R 1W7",Alliston,Stevenson Memorial Hospital,,https://www.ontario.ca/page/general-hospital-locations
"201 Georgian Drive, Barrie, ON L4M 6M2",Barrie,Royal Victoria Regional Health Centre,,https://www.ontario.ca/page/general-hospital-locations
"2100 Bovaird Drive East, Brampton, ON L6R 3J7",Brampton,Brampton Civic Hospital,,https://www.ontario.ca/page/general-hospital-locations
"101 Humber College Boulevard, Etobicoke ON M9V 1R8",Etobicoke,Etobicoke General Hospital (Toronto),,https://www.ontario.ca/page/general-hospital-locations
"20 Lynch Street, Brampton, ON L6W 2Z8",Brampton,Peel Memorial Centre for Integrated Health and Wellness,,https://www.ontario.ca/page/general-hospital-locations
"200 Church Street, Toronto, ON M9N 1N8",Toronto,Reactivation Care Centre – Church (Toronto),,https://www.ontario.ca/page/general-hospital-locations
"459 Hume Street, Collingwood, ON L9Y 1W9",Collingwood,Collingwood General And Marine Hospital,,https://www.ontario.ca/page/general-hospital-locations
"100 Frank Miller Drive, Huntsville, ON P1H 1H7",Huntsville,Huntsville District Memorial Hospital,,https://www.ontario.ca/page/general-hospital-locations
"75 Ann Street, Bracebridge, ON P1L 2E4",Bracebridge,South Muskoka Memorial Hospital (Bracebridge),,https://www.ontario.ca/page/general-hospital-locations
"381 Church Street, Markham, ON L3P 7P3",Markham,Markham-Stouffville Hospital,,https://www.ontario.ca/page/general-hospital-locations
"4 Campbell Drive, Uxbridge, ON L9P 1S4",Uxbridge,Uxbridge Hospital,,https://www.ontario.ca/page/general-hospital-locations
"2111 Finch Avenue West, Toronto ON M3N 1N1",Toronto,Reactivation Care Centre – Finch (Toronto),,https://www.ontario.ca/page/general-hospital-locations
"1112 St. Andrew's Drive, Midland, ON L4R 4P4",Midland,Georgian Bay General Hospital - Main Site,,https://www.ontario.ca/page/general-hospital-locations
"611 Prospect Boulevard, Midland, ON L4R 4K3",Midland,Georgian Bay General Hospital - Prospect Boulevard Site,,https://www.ontario.ca/page/general-hospital-locations
"2200 Eglinton Avenue West, Mississauga, ON L5M 2N1",Mississauga,Credit Valley Hospital,,https://www.ontario.ca/page/general-hospital-locations
"100 Queensway West, Mississauga, ON L5B 1B8",Mississauga,Mississauga Hospital,,https://www.ontario.ca/page/general-hospital-locations
"150 Sherway Drive, Toronto, ON M9C 1A5",Toronto,Queensway Health Centre (Toronto),,https://www.ontario.ca/page/general-hospital-locations
"2180 Speakman Drive, Ground Floor, Mississauga, ON L5K 0B1",Mississauga,Speakman Dialysis Care Centre,,https://www.ontario.ca/page/general-hospital-locations
"82 Buttonwood Avenue, Toronto, ON M6M 2J5",Toronto,UHN Reactivation Care Centre (Toronto),,https://www.ontario.ca/page/general-hospital-locations
"596 Davis Drive, Newmarket, ON L3Y 2P9",Newmarket,Southlake Health - Newmarket Site,,https://www.ontario.ca/page/general-hospital-locations
"3001 Hospital Drive, Oakville, ON L6M 0L8",Oakville,Oakville Trafalgar Memorial Hospital,,https://www.ontario.ca/page/general-hospital-locations
"725 Bronte Street South, Milton, ON L9T 9K1",Milton,Milton District Hospital,,https://www.ontario.ca/page/general-hospital-locations
"3560 Bathurst St, Toronto, ON M6A 2E1",Toronto,Baycrest,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"119 Isabella St, Toronto, ON M4Y 1P2",Toronto,Casey House Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"1001 Queen St W, Toronto, ON M6J 1H4",Toronto,Centre For Addiction And Mental Health (CAMH),https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"250 College St, Toronto, ON M5T 1R8",Toronto,Centre For Addiction And Mental Health (CAMH) - College Street Site,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"150 Kilgour Rd, Toronto, ON M4G 1R8",Toronto,Holland Bloorview Kids Rehabilitation Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"555 University Ave, Toronto, ON M5G 1X8",Toronto,Hospital for Sick Children (The),https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"825 Coxwell Ave, Toronto, ON M4C 3E7",Toronto,Michael Garron Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"4001 Leslie St, Toronto, ON M2K 1E1",Toronto,North York General Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"625 Runnymede Rd, Toronto, ON M6S 3A3",Toronto,Runnymede Healthcare Centre,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"650 Church St, Toronto, ON M4Y 2G5",Toronto,"Salvation Army Toronto Grace Health Centre, The",https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"3050 Lawrence Ave E, Toronto, ON M1P 2V5",Toronto,Scarborough Health Network - General Site,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"Mount Sinai Hospital, 600 University Ave, Toronto, ON M5G 1X5",Toronto,Sinai Health System,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"1 Bridgepoint Dr, Toronto, ON M4M 2B5",Toronto,Sinai Health System - Hennick Bridgepoint Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"Joseph and Wolf Lebovic Health Complex, 600 University Ave, Toronto, ON M5G 1X5",Toronto,Sinai Health System - Mount Sinai Hospital,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"2075 Bayview Ave, Toronto, ON M4N 3M5",Toronto,Sunnybrook Health Sciences Centre,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"43 Wellesley St E, Toronto, ON M4Y 1H1",Toronto,Sunnybrook Health Sciences Centre - Holland Orthopeadic and Arthritic Site,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078,https://www.torontocentralhealthline.ca/listservices.aspx?id=10078
"200 Elizabeth Street, Toronto, ON M5G 2C4",Toronto,Toronto General Hospital,https://www.uhn.ca/OurHospitals/TGH,https://www.uhn.ca/OurHospitals/TGH
"237 Barton St E Hamilton, ON L8L 2X2",Hamilton,Hamilton General Hospital,https://www.hamiltonhealthsciences.ca/,https://www.hamiltonhealthsciences.ca/
"30 Bond Street, Toronto, ON",Toronto,St. Michael’s Hospital,https://unityhealth.to/locations/st-michaels-hospital/,https://unityhealth.to/locations/st-michaels-hospital/
"2075 Bayview Ave, Toronto, ON M4N 3M5",Toronto,Bayview Campus,https://sunnybrook.ca/,https://sunnybrook.ca/
"285 Cummer Avenue, Toronto, ON M2M 2G1",Toronto,St. John’s Rehab,https://sunnybrook.ca/,https://sunnybrook.ca/
"43 Wellesley St. East, Toronto, ON M4Y 1H1",Toronto,Holland Centre,https://sunnybrook.ca/,https://sunnybrook.ca/
"77 Brown’s Line, Suite 100, Toronto, ON M8W 3S2",Toronto,Pre-Hospital Medicine (Brown’s Line),https://sunnybrook.ca/,https://sunnybrook.ca/
"1929 Bayview Avenue, 3rd Floor, Toronto, ON M4G 3E8",Toronto,Community Dialysis Program at CNIB,https://sunnybrook.ca/,https://sunnybrook.ca/
"200 Church Street (Jane and the 401), Third Floor, Toronto, ON M9N 1N8",Toronto,Humber Church Reactivation Care Centre (RCC),https://sunnybrook.ca/,https://sunnybrook.ca/
"2398 Yonge St, Toronto, ON M4P 2H4",Toronto,Vibrant Community Health A,https://sunnybrook.ca/,https://sunnybrook.ca/
"695 Coxwell Avenue, Toronto, ON M4C 5R6",Toronto,Vibrant Community Health B,https://sunnybrook.ca/,https://sunnybrook.ca/
"460 Jarvis Street, Toronto, ON M4Y 2X8",Toronto,Vibrant Community Health C,https://sunnybrook.ca/,https://sunnybrook.ca/
"64 Carleton Street, Toronto, ON M5B 2P4",Toronto,Vibrant Community Health D,https://sunnybrook.ca/,https://sunnybrook.ca/
"30 The Queensway, Toronto, ON M6R 1B5",Toronto,St. Joseph's Health Centre,https://unityhealth.to/,https://unityhealth.to/
"2295 S Vineyard Ave, Ontario, CA 91761",Ontario,Ontario Medical Center,https://healthy.kaiserpermanente.org/southern-california/facilities/ontario-medical-center-300511,https://healthy.kaiserpermanente.org/southern-california/facilities/ontario-medical-center-300511
"351 SW 9th Street, Ontario, OR 97914",Ontario,Saint Alphonsus Medical Center - Ontario,https://www.saintalphonsus.org/location/saint-alphonsus-medical-center-ontario,https://www.saintalphonsus.org/location/saint-alphonsus-medical-center-ontario
