Address,City,Name,Phone Number,source_url
Ontario,Ontario,Government of Ontario - Capacity Assessors,1-866-521-1033; 416-327-6766,https://www.oiac.ca/
10 Armoury Street,Toronto,Justice Of The Peace - 10 Armoury Street,"(416) 212-2701 ext 1, option 5",https://www.sandspsychology.ca/capacity-assessments
2201 Finch Ave West,Toronto,Justice Of The Peace - 2201 Finch Ave West,416-314-3973,https://www.sandspsychology.ca/capacity-assessments
519 Church Street,Toronto,519 Church Street Community Centre,416-392-6878 ext. 4000,https://www.sandspsychology.ca/capacity-assessments
"761 Jane Street, 2nd floor",Toronto,"Access Alliance - 761 Jane Street, 2nd floor",416-760-8677,https://www.sandspsychology.ca/capacity-assessments
185 Fifth Street,Etobicoke,LAMP Community Health Centre,416-252-6471,https://www.sandspsychology.ca/capacity-assessments
10 Armoury St.,Toronto,Ontario Court of Justice Toronto (10 Armoury St.),437-552-9038,https://www.sandspsychology.ca/capacity-assessments
"76 Grenville Street, 3rd floor",Toronto,Women's College Hospital Crossroads Refugee Clinic,416-323-6031,https://www.sandspsychology.ca/capacity-assessments
"815 Danforth Avenue, Suite 100",Toronto,Woodgreen Community Services,416-645-6000,https://www.sandspsychology.ca/capacity-assessments
636 Kennedy Rd,Toronto,Youthlink,416-967-1773 x 222,https://www.sandspsychology.ca/capacity-assessments
"Woodville, Ontario",Woodville,"Capacity Assessment & Risk Evaluation for Seniors (CARES) / Shauna Crouter (MacEachern), Occupational Therapist and Designated Capacity Assessor",1-888-535-4460,https://geriatricsontario.ca/resources/
"1151 Richmond St, London, ON, N6A 3K7",London,"Arthur Labatt Family School of Nursing, Western University",1 519 661 2111,https://lampchc.org/
"168 Bathurst Street, Toronto, Ontario M5V 2R4",Toronto,Queen West Site,416-703-8482 ext. 2100,https://www.cms.gov/about-cms/what-we-do/nursing-homes/providers-cms-partners/training-resources
"1229 Queen Street West, Toronto, Ontario M6K 1L2",Toronto,Parkdale Site,416-537-2455,https://www.cms.gov/about-cms/what-we-do/nursing-homes/providers-cms-partners/training-resources
"27 Roncesvalles Avenue, Suite 301, Toronto, Ontario M6R 3B2",Toronto,Roncesvalles Site,416-537-8222,https://www.cms.gov/about-cms/what-we-do/nursing-homes/providers-cms-partners/training-resources
"500-970 Lawrence Ave W, Toronto, ON M6A 3B6",Toronto,Alliance for Healthier Communities,416-236-2539 ext. 240,https://www.johnahartford.org/grants-strategy/skilled-long-term-framing-building-capacity-to-communicate-about-nursing-homes
"45 St. Clair Ave. West, Suite 600, Toronto, Ontario, M4V 1K9",Toronto,WEL Partners,(416) 925-7400,https://pubmed.ncbi.nlm.nih.gov/33238143/
"122 C Street NW, Suite 400, Washington, DC 20001",Washington,American Health Care Association,+1 (202) 842-4444,https://www.pcl.com/ca/en/insights/the-abcs-of-accelerated-building-how-to-build-a-long-term-care-home
250 College Street,Toronto,Forensic Psychiatry Psycholegal Clinic,416 535-8501 ext. 77360,https://ijic.org/articles/10.5334/ijic.9005
"80 College Street, Toronto, Ontario M5G 2E2",Toronto,College of Physicians and Surgeons of Ontario,416-967-2600,https://www.canada.ca/en/health-canada/corporate/about-health-canada/public-engagement/external-advisory-bodies/expert-panel-maid-mental-illness/final-report-expert-panel-maid-mental-illness.html
17 - 1450 Kingston Road,Pickering,Durham Community Health Centre,905-420-0333,https://ijic.org/articles/10.5334/ijic.7539
1320 Airport Blvd.,Oshawa,Durham Community Health Centre,905-743-9960,https://ijic.org/articles/10.5334/ijic.7539
115 Grassmere Avenue,Oshawa,Durham Community Health Centre,905-723-0036,https://ijic.org/articles/10.5334/ijic.7539
720 Simcoe Street,Beaverton,Brock Community Health Centre,705-432-3322,https://ijic.org/articles/10.5334/ijic.7539
64 Cameron Street East,Cannington,Brock Community Health Centre – Primary Health Care,705-432-3388,https://ijic.org/articles/10.5334/ijic.7539
"605 Rossland Road East, Whitby, ON L1N 6A3",Whitby,Social Services - Living with Low Income (Durham Region),311,https://ijic.org/articles/10.5334/ijic.7539
"605 Rossland Road East, Whitby, ON L1N 6A3",Whitby,Durham Region (Regional Office),905-668-7711,https://ijic.org/articles/10.5334/ijic.7539
"55 East 59th Street, 16th Floor, New York, NY 10022-1713",New York,The John A. Hartford Foundation,212.832.7788,https://www.govinfo.gov/content/pkg/CHRG-116hhrg40455/html/CHRG-116hhrg40455.htm
"1280 Main Street West MML-417, Hamilton, Ontario L8S 4L6",Hamilton,McMaster Health Forum,+1-905-525-9140 x22121,https://www.kauffman.org/currents/capacity-building-grantees-first-round/
"York Professional Building, 679 Davis Drive, Suite 310, Newmarket, ON L3Y 5G8",Newmarket,Sands Psychology Professional Corporation,(905) 830-3474,https://www.sciencedirect.com/science/article/pii/S0197457220302482
"340 College Street, Suite 500, Toronto, ON M5T 3A9",Toronto,Access Alliance Multicultural Health and Community Services,416-324-8677,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"3079 Danforth Avenue, Toronto, ON M1L 1A8",Toronto,Access Alliance Multicultural Health and Community Services – Access Point on Danforth,416-693-8677,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"225 Queen Street East, Toronto, ON M5A 1S4",Toronto,Anishnawbe Health Toronto,416-360-0486,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"179 Gerrard Street East, Toronto, ON M5A 2E5",Toronto,Anishnawbe Health Toronto – Gerrard,416-920-2605,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"213 Carlton Street, Toronto, ON M5A 2K9",Toronto,Anishnawbe Health Toronto – Carlton Street,416-657-0379,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"490 Huronia Road, Barrie, ON L4N 6M2",Barrie,Barrie Community Health Centre,705-734-9690,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"161 Bridge Street West, Belleville, ON K8P 1K2",Belleville,Belleville and Quinte West Community Health Centre,613-962-0000,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"50 Meadow Drive, Tyendinaga, Mohawk Territory, Deseronto, ON K0K 1X0",Deseronto,Belleville and Quinte West Community Health Centre – Mohawks of The Bay of Quinte,613-967-3603,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"69 Catherine Street, Trenton, ON K8V 5K9",Trenton,Belleville and Quinte West Community Health Centre – Trenton,613-965-0698,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1 Yorkgate Boulevard, Suite 202, Toronto, ON M3M 3A1",Toronto,Black Creek Community Health Centre (Yorkgate Mall),416-246-2388,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1485 Garrison Road, Fort Erie, ON L2A 1P8",Fort Erie,Bridges Community Health Centre,905-871-7621,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"380 Elm Street, Port Colborne, ON L3K 4P2",Port Colborne,Bridges Community Health Centre – Port Colborne,289-479-5017,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"290 Coldrey Avenue, Ottawa, ON K1Z 5Z8",Ottawa,Carlington Community Health Centre,613-722-4000,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"359 Talbot Street, St. Thomas, ON N5P 1B7",St. Thomas,Central Community Health Centre,519-633-7989,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"27 Kolb Avenue, Kapuskasing, ON P5N 1G2",Kapuskasing,Centre de santé communautaire de Kapuskasing et région,705-337-1201,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"841 Sydney Street, Suite 6, Cornwall, ON K6H 3J7",Cornwall,Centre de santé communautaire de l'Estrie,613-937-2683,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"5 Main Street South, Alexandria, ON K0C 1A0",Alexandria,Centre de santé communautaire de l'Estrie – Alexandria,613-525-5544,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"2081 Laval Street, Bourget, ON K0A 1E0",Bourget,Centre de santé communautaire de l'Estrie – Bourget,613-487-1802,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1 Nation Street, Crysler, ON K0A 1R0",Crysler,Centre de santé communautaire de l'Estrie – Crysler,613-987-2683,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"649 Notre-Dame Street, Suite 203, Embrun, ON K0A 1W1",Embrun,Centre de santé communautaire de l'Estrie – Embrun,613-443-3888,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"1500 Riverside Drive, Unit 58, Timmins, ON P4R 1A1",Timmins,Centre de santé communautaire de Timmins,705-269-2728,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"26 Main Street, Chelmsford, ON P0M 1L0",Chelmsford,Centre de santé communautaire du Grand Sudbury – Chelmsford,705-855-8084,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"Box 21 Low Street, Gogama, ON P0M 1W0",Gogama,Centre de santé communautaire du Grand Sudbury – Centre de soins infirmiers de Gogama,705-894-2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"344 Elgin Street, Sudbury, ON P3E 3N9",Sudbury,Centre de santé communautaire du Grand Sudbury – Clinique du Coin,705-673-3721,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"668 Emily Street, Hanmer, ON P3P 1E4",Hanmer,Centre de santé communautaire du Grand Sudbury – Vallsantée-Est,705-969-5560,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
"19, chemin Frood, Sudbury, ON P3C 4Y9",Sudbury,Centre de santé communautaire de Sudbury,705-670-2166,https://pmc.ncbi.nlm.nih.gov/articles/PMC4349567/
