Address,City,Name,Phone Number,Website,Zip Code,source_url
5 Queen Street,Niagara-on-the-Lake,Niagara Apothecary,nan,http://www.ocpinfo.com,nan,https://members.ocpinfo.com/tcpr/public/pr/en/
312 Queen St E,Brampton,Aim Pharmacy,905-450-0150,https://www.centralwesthealthline.ca/displayService.aspx?id=61028,L6V 1C2,https://www.poidata.io/report/pharmacy/canada/ontario
"2985 Drew Rd, Unit 114",Mississauga,Airport Pharmacy,905-677-2323,https://www.centralwesthealthline.ca/displayService.aspx?id=61123,L4T 0A4,https://www.poidata.io/report/pharmacy/canada/ontario
"1770 Albion Rd, Unit 40",Etobicoke,Albion Drug Store,416-744-4200,https://www.centralwesthealthline.ca/displayService.aspx?id=191933,M9V 1C2,https://www.poidata.io/report/pharmacy/canada/ontario
"1625 Albion Rd, Unit 104",Etobicoke,Albion Health Pharmacy,416-749-9119,https://www.centralwesthealthline.ca/displayService.aspx?id=61114,M9V 5H8,https://www.poidata.io/report/pharmacy/canada/ontario
968 Albion Rd,Etobicoke,Albion Islington Pharmacy,437-918-9207,https://www.centralwesthealthline.ca/displayService.aspx?id=197695,M9V 1A7,https://www.poidata.io/report/pharmacy/canada/ontario
"900 Albion Rd, Unit A1",Etobicoke,Albion Medical Pharmacy,416-740-5500,https://www.centralwesthealthline.ca/displayService.aspx?id=151443,M9V 1A5,https://www.poidata.io/report/pharmacy/canada/ontario
"500 Alder St, Unit 6",Orangeville,Alder Square Pharmacy,519-943-1936,https://www.centralwesthealthline.ca/displayService.aspx?id=222546,L9W 7T6,https://www.poidata.io/report/pharmacy/canada/ontario
"1 Bartley Bull Pkwy, Unit 6",Brampton,Allwell Pharmacy - Brampton,905-450-1277,https://www.centralwesthealthline.ca/displayService.aspx?id=61027,L6W 3T7,https://www.poidata.io/report/pharmacy/canada/ontario
"10930 Goreway Dr, Unit CX2",Brampton,Apex Pharmacy,905-913-8311,https://www.centralwesthealthline.ca/displayService.aspx?id=220207,L6P 4N4,https://www.poidata.io/report/pharmacy/canada/ontario
300 Main St N,Brampton,Astra Care Pharmacy,905-451-7333,https://www.centralwesthealthline.ca/displayService.aspx?id=178313,L6V 4H6,https://www.poidata.io/report/pharmacy/canada/ontario
"40 Finchgate Blvd, Suite 120",Brampton,Bestgate Pharmacy,905-458-0030,https://www.centralwesthealthline.ca/displayService.aspx?id=61042,L6T 3H9,https://www.poidata.io/report/pharmacy/canada/ontario
2683 Islington Ave,Etobicoke,Blossom Pharmacy,647-340-4681,https://www.centralwesthealthline.ca/displayService.aspx?id=176373,M9V 2X7,https://www.poidata.io/report/pharmacy/canada/ontario
"170 McEwan Dr E, Unit 113",Bolton,Bolton Health Pharmacy - Bolton - McEwan Dr,905-951-1020,https://www.centralwesthealthline.ca/displayService.aspx?id=61032,L7E 4C8,https://www.poidata.io/report/pharmacy/canada/ontario
"56 Chesterwood Cres, Unit 4",Brampton,Bonnie Braes Drug Store,905-230-1214,https://www.centralwesthealthline.ca/displayService.aspx?id=169598,L6Y 0Z4,https://www.poidata.io/report/pharmacy/canada/ontario
