Address,City,Name,Phone Number,Website,Zip Code,source_url
547 Wils,Toronto,The Station Apothecary Pharmacy,416-633-5588,nan,M3H0C4,https://www.rexall.ca/
"35 Metcalf St, Woodstock, ON N4S 3E6",Woodstock,Access Care Pharmacy,519-290-6100,https://www.southwesthealthline.ca/displayService.aspx?id=174674,N4S 3E6,https://open-pharmacy-research.ca/
"450 Central Ave, Unit 109, London, ON N6B 2E8",London,AIM Drug Mart Pharmacy,519-432-3763,https://www.southwesthealthline.ca/displayService.aspx?id=12221,N6B 2E8,https://open-pharmacy-research.ca/
"Bellwood Plaza, 900 Oxford St E, Unit 14, London, ON N5Y 5A1",London,Bellwood Pharmacy,519-457-6026,https://www.southwesthealthline.ca/displayService.aspx?id=146108,N5Y 5A1,https://open-pharmacy-research.ca/
"460 Berkshire Dr, London, ON N6J 3S1",London,Berkshire Pharmacy,519-601-3784,https://www.southwesthealthline.ca/displayService.aspx?id=174598,N6J 3S1,https://open-pharmacy-research.ca/
"442 Queen St, PO Box 396, Blyth, ON N0M 1H0",Blyth,Blyth Pharmacy,226-256-8383,https://www.southwesthealthline.ca/displayService.aspx?id=191654,N0M 1H0,https://open-pharmacy-research.ca/
"1800 8th St E, Box 1800, Owen Sound, ON N4K 6M9",Owen Sound,Brightshores Health System - Owen Sound Hospital - Retail Pharmacy,519-372-3926,https://www.southwesthealthline.ca/displayService.aspx?id=11216,N4K 6M9,https://open-pharmacy-research.ca/
"331 Durham St E, Walkerton, ON N0G 2V0",Walkerton,Brown's Guardian Pharmacy - Walkerton,519-881-2420,https://www.southwesthealthline.ca/displayService.aspx?id=12417,N0G 2V0,https://open-pharmacy-research.ca/
"1064 Adelaide St N, London, ON N5Y 2N1",London,Canadian Apothecary,519-439-4100,https://www.southwesthealthline.ca/displayService.aspx?id=12546,N5Y 2N1,https://open-pharmacy-research.ca/
"100 Belmont Dr, Unit 9, London, ON N6J 4W3",London,Care Plus Pharmacy,519-204-4608,https://www.southwesthealthline.ca/displayService.aspx?id=146165,N6J 4W3,https://open-pharmacy-research.ca/
