address,alternate_contact,city,department,department_type,extension,hours,isEmergencyDepartment,name,notes,organization,phone,phone_numbers,postalCode,province,source_url,type,virtual_contact,website
"3885 Duke of York Blvd, Unit C107",,Mississauga,,,,,False,Pediatric Urgent Care,,,905-366-4441,,L5B 0E4,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Urgent Care,,
100 Queensway W,,Mississauga,,,,,True,Trillium Health Partners - Mississauga Hospital Emergency Department,,,905-848-7580 ext 7613,,L5B 1B8,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Emergency Department,,
"1201 Britannia Rd W, Unit 7 and 8",,Mississauga,,,,,False,Mississauga Urgent Care Clinic,,,905-826-2273,,L5V 1N2,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Urgent Care,,
2200 Eglinton Ave W,,Mississauga,,,,,True,Trillium Health Partners - Credit Valley Emergency Department,,,905-813-4141,,L5M 2N1,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Emergency Department,,
42175-5636 Glen Erin Dr,,Mississauga,,,,,False,Respond Search and Rescue Ontario,,,1-877-860-2377,,L5M 0Z2,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Organization,,
150 Sherway Drive,,Etobicoke,,,,"Open daily, 3 - 9 p.m.",,Trillium Health Partners Urgent Care Centre - Queensway Health Centre,Urgent Care Centre at Queensway Health Centre provides care for individuals of all ages with non-life-threatening illnesses and injuries.,,416-259-6671,,M9C 1A5,Ontario,https://www.thp.ca/emergency/A/index.html,Urgent Care Centre,,http://www.thp.ca
7120 Hurontario St,,Mississauga,,,,,False,Peel Public Health - Ontario Seniors Dental Program,,,1-833-207-4435,,L5S 1Z8,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Public Health – Dental Program,,
7120 Hurontario St,,Mississauga,,,,,False,Peel Public Health - Healthy Smiles Ontario,,,1-844-296-6306,,L5S 1Z8,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Public Health – Dental Program,,
"3470 Laird Rd, Unit 1",,Mississauga,,,,,False,Reflex Medical Centre - Walk-in Clinic and Urgent Care,,,905-820-6000,,L5L 5Y4,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Urgent Care / Walk-in Clinic,,
20 Lynch St,,Brampton,,,8,,False,William Osler Health System - Urgent Care Centre (Peel Memorial Centre),,,905-494-2120,,L6W 2Z8,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Urgent Care Centre,,
"263 Queen St E, Unit 20",,Brampton,,,,,False,Queen's Urgent Care and Medical Centre,,,905-497-2273,,L6W 4K6,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Urgent Care,,
101 Humber College Blvd,,Toronto,,,1,,True,William Osler Health System - Etobicoke General Emergency Department,,,416-747-3528,,M9V 1R8,,https://211ontario.ca/results/?searchLocation=Mississauga&latitude=43.5890452&longitude=-79.6441198&topicPath=95,Emergency Department,,
"{'line1': '601 Elmwood Avenue', 'city': 'Rochester', 'state': 'NY', 'zip': '14642'}",,,,Emergency Department,,,,Strong Memorial Hospital Emergency Department,The region’s only Level One Trauma Center; only dedicated Burn Center in the region; region’s only Pediatric Emergency Department; region’s only Psychiatric Emergency Department; has a toxicologist on staff.,Strong Memorial Hospital / University of Rochester Medical Center (URMC),,"['(585) 275-4551', '(585) 275-2100']",,,https://www.urmc.rochester.edu/strong-memorial/visiting-information/emergency-room,,,
"{'street': '555 University Ave', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M5G 1X8'}",,,Emergency Department,,,,,Hospital for Sick Children (The),,,416-813-5807,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '825 Coxwell Ave', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M4C 3E7'}",,,Emergency Department,,,,,Michael Garron Hospital,,,416-469-6435,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '4001 Leslie St, 1st Fl', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M2K 1E1'}",,,Emergency Department,,,,,North York General Hospital - General Site,,,416-756-6001,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '3030 Birchmount Rd', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M1W 3W3'}",,,Emergency Department,,72550,,,Scarborough Health Network - Birchmount Site,,,416-438-2911,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '2867 Ellesmere Rd', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M1E 4B9'}",,,Emergency Department,,,,,Scarborough Health Network - Centenary Site,,,416-284-8131,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': 'Crockford Wing, Main Floor, 3050 Lawrence Ave E', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M1P 2V5'}",,,Emergency Department,,86300,,,Scarborough Health Network - General Site,,,416-438-2911,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': 'Joseph and Wolf Lebovic Health Complex, 600 University Ave', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M5G 1X5'}",,,Emergency Department,,,,,Sinai Health System - Mount Sinai Hospital,,,416-586-5054,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '2075 Bayview Ave', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M4N 3M5'}",,,Emergency Department,,64207,,,Sunnybrook Health Sciences Centre,,,416-480-6100,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,Virtual Emergency Department: 416-480-6100 ext 63904,
"{'street': '30 The Queensway, Barnicke Wing', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M6R 1B5'}",,,Emergency Department,,,,,Unity Health Toronto - St Joseph's Health Centre,,,416-530-6003,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{' street': '30 Bond St', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M5B 1W8'}","{'type': 'Patient Inquiry', 'phone': '416-864-5454'}",,Emergency Department,,,,,Unity Health Toronto - St Michael's Hospital,,,416-360-4000,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': 'R Fraser Elliott Building, Main Fl, 190 Elizabeth St', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M5G 2C4'}",,,Emergency Department,,,,,University Health Network - Toronto General Hospital,,,416-340-3946,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': 'Fell Pavilion, 1st Fl, 399 Bathurst St', 'city': 'Toronto', 'province': 'ON', 'postal_code': 'M5T 2S8'}",,,Emergency Department,,,,,University Health Network - Toronto Western Hospital,,,416-603-5757,,,,https://www.torontocentralhealthline.ca/listservices.aspx?id=10077,,,
"{'street': '1245 Lakeshore Rd', 'city': 'Burlington', 'province': 'ON', 'postal_code': 'L7S 0A2'}",,,Emergency Department,,4116,,,Joseph Brant Hospital - Emergency Department,,,905-632-3737,,,,http://www.mississaugahaltonhealthline.ca/listServices.aspx?id=10077,,,
