Address,City,Name,Phone Number,source_url
"175 Dorset St West, ON L1A 1G4",Port Hope,Port Hope Rehab Centre,1-855-499-9446,https://www.ontario.ca/page/mental-health-services
"420 Division St, ON K9A 3R9",Cobourg,Cobourg Rehab Centre,1-855-499-9446,https://www.ontario.ca/page/mental-health-services
"2075 Bayview Ave, U-wing, Ground Fl",Toronto,Sunnybrook Health Sciences Centre,416-480-4261,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
285 Cummer Ave,Toronto,Sunnybrook Health Sciences Centre - St John's Rehab Program,416-224-6948,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
"550 University Avenue, Rm 3-102-11",Toronto,Toronto ABI Network,416-597-3057,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
"Queensway Health Centre, 150 Sherway Dr, Second Floor",Etobicoke,Trillium Health Partners - Credit Valley Hospital - Outpatient Physiotherapy Services,416-521-4142,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
"Main Floor, 150 Sherway Dr",Etobicoke,Trillium Health Partners - Queensway Health Centre - Outpatient Neuro Rehab Services,416-521-4141,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
3276 St Clair Ave E,Toronto,Unity Health Toronto - Providence Healthcare,416-285-3619,https://www.psychologytoday.com/ca/therapists/ontario?category=addiction
"70 Dundas St E, Napanee, ON K7R 1H9",Napanee,Addiction and Mental Health Services (AMHS-KFLA) - Napanee Site,613-354-7521,https://www.camh.ca/
"175 Commerce Valley Drive West, Suite 300, Markham, Ontario L3T 7P6",Markham,Canadian Addiction Treatment Centres,1-877-937-2282,https://www.ontariocolleges.ca/en/programs/fields-of-interest/addictions-mental-health
394 West Street,Simcoe,Norfolk General Hospital – Holmes House,(519) 428-1911,https://canatc.ca/addiction-treatment/inpatient/
6 Adams Street,St. Catharines,Niagara Health System – Niagara Regional Women’s Withdrawal Management Service,(905) 682-7211 ext.2,https://canatc.ca/addiction-treatment/inpatient/
281 Wellington Street,London,Alexandra Hospital – Centre of Hope Withdrawal Management Centre,(519) 432-7241,https://canatc.ca/addiction-treatment/inpatient/
431 Whitney Avenue,Hamilton,St. Joseph’s Healthcare Hamilton — Womankind Addiction Service,(905) 545-9100,https://canatc.ca/addiction-treatment/inpatient/
103-216 West Street,Simcoe,Community Addiction and Mental Health Services of Haldimand and Norfolk — West Street Medical Centre,(519) 426-3257,https://canatc.ca/addiction-treatment/inpatient/
RR 6,Hagersville,New Credit Social and Health Services,(905) 768-1181,https://canatc.ca/addiction-treatment/inpatient/
96 Tillson Avenue,Tillsonburg,Addiction Services of Thames Valley (ADSTV),(519) 673-3242 ext.222,https://canatc.ca/addiction-treatment/inpatient/
3-9 Oakland Boulevard,Elliot Lake,St. Joseph’s General Hospital Elliot Lake – Camillus Centre,(705) 848-2652,https://canatc.ca/addiction-treatment/inpatient/
150 Delhi Street,Guelph,Homewood Addiction Services,(519) 824-1010 ext.2551,https://canatc.ca/addiction-treatment/inpatient/
60 Westwood Rd.,Guelph,Stonehenge Therapeutic Community,(519) 837-1470 ext. 226,https://canatc.ca/addiction-treatment/inpatient/
9605 Regional Road 25,Milton,Hope Place Centres Women’s Treatment Centre,(905) 875-3214 ext.303,https://canatc.ca/addiction-treatment/inpatient/
