Address,City,Name,Phone Number,Website,Zip Code,source_url
"2880 Queen St E, Unit 7",Brampton,MedBox Rx Pharmacy - Brampton East,905-451-4888,http://booking.medboxpharmacy.ca/clinic/brampton-east,L6S 6E8,https://mapleleafmedicalpharmacy.com/
15017 Yonge St. Suite 204 Aurora ON L4G 1M5,Aurora,Aurora Compounding Pharmacy,(905) 727-1343,https://auroracompoundingrx.ca/,L4G 1M5,https://www.torontotoday.ca/directory/pharmacy-and-drug-stores
501 Smyth Road,Ottawa,The Ottawa Hospital and Hôpital Montfort,613-737-8899 x 72278,https://cshp-scph.ca/ottawa-hospital-and-hopital-montfort,K1H 8L6,https://healthone.ca/toronto/pharmacy-to/
1881 Yonge Street,Toronto,Davisville Guardian Pharmacy,(416) 480-1420,https://davisvilleguardianpharmacy.ca/,M4S 1Y6,https://hqtoronto.ca/toronto-pharmacy-services-directory/
801 Dundas St E,Mississauga,A Plus Pharmacy,905-566-8633,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147674,L4Y 4G9,https://www.facebook.com/TheVillagePharm/
"Pilgrims Way Plaza, 1395 Abbeywood Dr, Unit 3",Oakville,Abbeywood Pharmacy,905-847-2221,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=170566,L6M 3B2,https://www.facebook.com/TheVillagePharm/
"2624 Dunwin Dr, Unit 2",Mississauga,Affirming Care Pharmacy,905-607-6789,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=219186,L5L 3T5,https://www.facebook.com/TheVillagePharm/
"25 Agnes St, Unit 3",Mississauga,Agnes Medical Pharmacy,905-272-0303,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154389,L5B 3X7,https://www.facebook.com/TheVillagePharm/
2233 Hurontario St,Mississauga,All Care Pharmacy,905-290-7451,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147681,L5A 2E9,https://www.facebook.com/TheVillagePharm/
"4665 Central Pkwy E, Unit 14",Mississauga,Allwell Pharmacy - Mississauga,905-890-7775,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147744,L4Z 2V5,https://www.facebook.com/TheVillagePharm/
308 Guelph St,Georgetown,Alpha Care Pharmacy,905-702-1500,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154816,L7G 4B1,https://www.facebook.com/TheVillagePharm/
"Erin Centre Plaza, 3955 Erin Centre Blvd",Mississauga,Angel Pharmacy,905-820-1011,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147677,L5M 0H1,https://www.facebook.com/TheVillagePharm/
1221 Bloor St E,Mississauga,Apple-Hills Medical Pharmacy,905-625-3268,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147682,L4Y 2N8,https://www.facebook.com/TheVillagePharm/
"Canada Post Plaza, 966 Dundas St E, Unit 8A",Mississauga,Applewood Medical Pharmacy,905-487-3779,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=186672,L4Y 4H5,https://www.facebook.com/TheVillagePharm/
"6905 Millcreek Dr, Unit 3",Mississauga,Aquitaine Pharmacy,289-422-7777,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=223648,L5N 6A3,https://www.facebook.com/TheVillagePharm/
"2520 Eglinton Ave W, Unit 3",Mississauga,ARC Pharmacy,905-997-7999,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=196655,L5M 0Y2,https://www.facebook.com/TheVillagePharm/
"1598 Leger Way, Unit 5",Milton,Bonafide Compounding Pharmacy,905-636-7880,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=193565,L9E 0B9,https://www.facebook.com/TheVillagePharm/
"228 Lakeshore Rd W, Unit 4A",Mississauga,Brightwater Pharmacy,905-271-9000,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=198950,L5H 1G6,https://www.facebook.com/TheVillagePharm/
"Winston Park Health Care, 2315 Bristol Circle, Suite 105",Oakville,Bristol Medical Pharmacy,905-829-4495,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154919,L6H 6P8,https://www.facebook.com/TheVillagePharm/
"Bristol Place, 512 Bristol Rd W, Unit 10B",Mississauga,Bristol Pharmacy,905-502-6400,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147684,L5R 3Z1,https://www.facebook.com/TheVillagePharm/
"Dowling Plaza, 2275 Britannia Rd W, Unit 9",Mississauga,Britannia Health Pharmacy,905-286-0001,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=187035,L5M 2G6,https://www.facebook.com/TheVillagePharm/
"5925 Grossbeak Dr, Unit 9",Mississauga,Britannia Medical Pharmacy,905-785-1500,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147685,L5N 6S5,https://www.facebook.com/TheVillagePharm/
"5980 Churchill Meadows Blvd, Unit 11",Mississauga,Britannia Pharmacy,905-286-4830,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147679,L5M 7M5,https://www.facebook.com/TheVillagePharm/
"Heartland Town Centre, 5985 Rodeo Dr, Unit 5",Mississauga,Britlin Pharmacy,905-501-1960,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=198956,L5R 3X8,https://www.facebook.com/TheVillagePharm/
78 Jones St,Oakville,Bronte Centre Pharmacy,905-847-0002,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154920,L6L 6C5,https://www.facebook.com/TheVillagePharm/
"Bronte Professional Place, 330 Bronte St S, Unit 121",Milton,Bronte Medical Pharmacy,905-875-2151,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=176137,L9T 7X1,https://www.facebook.com/TheVillagePharm/
"350 Burnhamthorpe Rd E, Unit 4",Mississauga,Burnhamthorpe Medical Pharmacy,905-270-9990,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147686,L5A 3S5,https://www.facebook.com/TheVillagePharm/
"35 Crawford Cres, PO Box 405",Campbellville,Campbellville Pharmacy,905-854-0313,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=154876,L0P 1B0,https://www.facebook.com/TheVillagePharm/
3075 Hurontario St,Mississauga,Capital Pharmacy,905-232-1099,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=197289,L5A 2G9,https://www.facebook.com/TheVillagePharm/
"Silver Creek Plaza, 680 Silver Creek Blvd, Units 7 and 8",Mississauga,Cawthra Drug Store,905-277-1236,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147735,L5A 3Z1,https://www.facebook.com/TheVillagePharm/
"1235 Queensway E, Unit 12",Mississauga,Centerpharm Pharmacy,905-848-2228,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=222047,L4Y 0G4,https://www.facebook.com/TheVillagePharm/
"City Centre Medical Arts Building, 3420 Hurontario St, Unit 105",Mississauga,Central All Care Pharmacy,905-306-0606,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147693,L5B 4A9,https://www.facebook.com/TheVillagePharm/
"1010 Dream Crest Rd, Unit 6, Mississauga, ON L5V 3A4",Mississauga,Dream Crest Pharmacy,905-813-5666,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147711,L5V 3A4,https://www.facebook.com/TheVillagePharm/
"Village of Islington, 5115 Dundas St W, Toronto, ON M9A 1C1",Toronto,Dunbloor Medical Pharmacy,416-482-1980 ext 5,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=178345,M9A 1C1,https://www.facebook.com/TheVillagePharm/
"Cooksville Landing Plaza, 400 Dundas St E, Unit 105A, Mississauga, ON L5A 1X5",Mississauga,Dundas 400 Medical Pharmacy,905-232-8846,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=176139,L5A 1X5,https://www.facebook.com/TheVillagePharm/
"55 Dundas St E, Unit 1, Mississauga, ON L5A 1W1",Mississauga,Dundas Clinical Pharmacy,905-277-8822,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147718,L5A 1W1,https://www.facebook.com/TheVillagePharm/
"5359 Dundas St W, Toronto, ON M9B 1B1",Toronto,Dundas Kipling Pharmacy,416-233-2222,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=153466,M9B 1B1,https://www.facebook.com/TheVillagePharm/
"1133 Dundas St E, Unit 8, Mississauga, ON L4Y 2C3",Mississauga,Dundas Pharmacy,905-232-8848,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=147719,L4Y 2C3,https://www.facebook.com/TheVillagePharm/
"2111 Dunwin Dr, Unit 6, Mississauga, ON L5L 3C1",Mississauga,Dunwin Pharmacy,905-828-8898,https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=163930,L5L 3C1,https://www.facebook.com/TheVillagePharm/
