Address,City,Name,source_url
"145 Government Rd E, Kirkland Lake, ON P2N 3P4",Kirkland Lake,Blanche River Health,https://www.ontario.ca/page/ontarios-public-hospitals
"61 Fifth St, Englehart, ON P0J 1H0",Englehart,Blanche River Health - Englehart Site,https://www.ontario.ca/page/ontarios-public-hospitals
"145 Government Rd E, Kirkland Lake, ON P2N 3P4",Kirkland Lake,Blanche River Health - Kirkland Lake Site,https://www.ontario.ca/page/ontarios-public-hospitals
"825 McKinnon Dr, Espanola, ON P5E 1R4",Espanola,Espanola Regional Hospital and Health Centre,https://www.ontario.ca/page/ontarios-public-hospitals
"41 Ramsey Lake Rd, Sudbury, ON P3E 5J1",Sudbury,Health Sciences North,https://www.ontario.ca/page/ontarios-public-hospitals
"865 Regent St S, Sudbury, ON P3E 3Y9",Sudbury,Health Sciences North - Sudbury Outpatient Centre - Regent St,https://www.ontario.ca/page/ontarios-public-hospitals
"1405 Edward St, Hearst, ON P0L 1N0",Hearst,Hôpital Notre-Dame Hospital - Hearst,https://www.ontario.ca/page/ontarios-public-hospitals
"278 Front St, Hornepayne, ON P0M 1Z0",Hornepayne,Hornepayne Community Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"17 Government Rd, Wawa, ON P0S 1K0",Wawa,Lady Dunn Health Centre - Wawa,https://www.ontario.ca/page/ontarios-public-hospitals
"11 Meredith St E, Little Current, ON P0P 1K0",Little Current,Manitoulin Health Centre - Little Current,https://www.ontario.ca/page/ontarios-public-hospitals
"2120B Hwy 551, Mindemoya, ON P0P 1S0",Mindemoya,Manitoulin Health Centre - Mindemoya,https://www.ontario.ca/page/ontarios-public-hospitals
"217 Turcotte Park Rd, Mattawa, ON P0H 1V0",Mattawa,Mattawa Hospital,https://www.ontario.ca/page/ontarios-public-hospitals
"241 Eighth St, Cochrane, ON P0L 1C0",Cochrane,MICs Group of Health Services,https://www.ontario.ca/page/ontarios-public-hospitals
"58 Anson Dr, Iroquois Falls, ON P0K 1E0",Iroquois Falls,MICs Group of Health Services - Anson General Hospital - Iroquois Falls,https://www.ontario.ca/page/ontarios-public-hospitals
"507 8th Ave, Matheson, ON P0K 1N0",Matheson,MICs Group of Health Services - Bingham Memorial Hospital - Matheson,https://www.ontario.ca/page/ontarios-public-hospitals
"241 Eighth St, Cochrane, ON P0L 1C0",Cochrane,MICs Group of Health Services - Lady Minto Hospital - Cochrane,https://www.ontario.ca/page/ontarios-public-hospitals
"50 College Dr, North Bay, ON P1B 5A4",North Bay,North Bay Regional Health Centre,https://www.ontario.ca/page/ontarios-public-hospitals
"525 Causley St, Blind River, ON P0R 1B0",Blind River,North Shore Health Network,https://www.ontario.ca/page/ontarios-public-hospitals
"1180 Richards St, Richards Landing, ON P0R 1J0",Richards Landing,North Shore Health Network - Richards Landing - Matthews Site,https://www.ontario.ca/page/ontarios-public-hospitals
