Address,City,Name,source_url
600 University Ave,Toronto,Mount Sinai Hospital,https://www.sinaihealth.ca/our-hospitals/mount-sinai-hospital
201 Georgian Drive,Barrie,Royal Victoria Regional Health Centre,https://en.wikipedia.org/wiki/List_of_hospitals_in_Canada
39 Lower Simcoe St,Toronto,Infinity Health Centre,https://www.saintalphonsus.org/location/saint-alphonsus-medical-center-ontario
2441 Lakeshore Rd W,Oakville,Infinity Health Centre,https://www.saintalphonsus.org/location/saint-alphonsus-medical-center-ontario
340 College Street,Toronto,The Doctor's Hospital,https://www.ontariohealth.ca/
1 Spadina Crescent,Toronto,Spadina Military Hospital,https://www.ontariohealth.ca/
Yonge and Davisville,Toronto,Orthopaedic Military Hospital,https://www.ontariohealth.ca/
Keele Street,Toronto,Northwestern Hospital,https://www.ontariohealth.ca/
Church and Keele Sites,Toronto,Humber River Hospital,https://www.ontariohealth.ca/
College Street Armouries,Toronto,Central Military Convalescence Hospital,https://www.ontariohealth.ca/
30 Bond Street,Toronto,St. Michael's Hospital,https://www.policyalternatives.ca/news-research/hollowed-out/
"237 Barton St E Hamilton, ON L8L 2X2",Hamilton,Hamilton General Hospital,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"699 Concession Street Hamilton, ON L8V 5C2",Hamilton,Juravinski Cancer Centre,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
711 Concession Street,Hamilton,Juravinski Hospital,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
1200 Main St W,Hamilton,McMaster Children’s Hospital,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"1200 Main St W Hamilton, ON L8N 3Z5",Hamilton,McMaster University Medical Centre,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"300 Wellington St N Hamilton, Ontario L8L 0A4",Hamilton,Regional Rehabilitation Centre,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"325 Wellington St N Hamilton, ON L8L 0A4",Hamilton,Ron Joyce Children’s Health Centre,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"150 King Street East Hamilton, ON L8N 1B2",Hamilton,Satellite Health Facility,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"88 Maplewood Avenue Hamilton, ON L8M 1W9",Hamilton,St. Peter’s Hospital,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
"690 Main Street West Hamilton, ON L8S 1A4",Hamilton,West End Clinic/Urgent Care Centre,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
169 Main Street East,Grimsby,West Lincoln Memorial Hospital,https://www.ottawapublichealth.ca/en/public-health-services/hospitals.aspx
Church Street; Finch Avenue; Keele Street,Toronto,Humber River Regional Hospital,https://www.ontariorenalnetwork.ca/en/local-services/north-west/locations-list
"3200 Major Mackenzie Dr W, Vaughan ON L6A 4Z3",Vaughan,Cortellucci Vaughan Hospital,https://infinityhealthcentre.com/health-care-options-in-ontario-explained/
"550 N Monterey Avenue, Ontario, CA 91764",Ontario,Kindred Hospital Ontario,https://pmc.ncbi.nlm.nih.gov/articles/PMC7845691/
"1200 Fourth Ave., St. Catharines, ON, L2S 0A9",St. Catharines,Niagara Health,https://ontariohealth.ca/news/operational-direction-rehab-ccc-capacity
2295 S Vineyard Ave,Ontario,Ontario Medical Center,https://www.infrastructureontario.ca/en/news-and-media/news/humber-river-hospital/humber-river-regional-hospital/
"1453 Prince Road, Windsor, ON N9C 3Z4",Windsor,Hôtel-Dieu Grace Healthcare,https://pmc.ncbi.nlm.nih.gov/articles/PMC11348631/
