Address,City,Name,Phone Number,source_url
"200 Van Norman St, Thunder Bay, ON P7A 4B8",Thunder Bay,Canadian Mental Health Association - Thunder Bay - New Foundations Program,807-345-5564,https://www.ontario.ca/page/people-disabilities
"118 Gorrie St Employment Support Service Building, Atikokan, ON P0T 1C0",Atikokan,Community Living Atikokan - Community Participation Services and Supports,807-597-2179,https://www.ontario.ca/page/people-disabilities
"280 Arthur St, Dryden, ON P8N 1K8",Dryden,Community Living Dryden Sioux Lookout - Dryden - Employment Services,807-701-5370,https://www.ontario.ca/page/people-disabilities
"340 Scott St, Fort Frances, ON P9A 3M5",Fort Frances,Community Living Fort Frances and District - Supported Employment,807-274-8727,https://www.ontario.ca/page/people-disabilities
"717 John St, Thunder Bay, ON P7B 1Z7",Thunder Bay,Community Living Thunder Bay - Thunder Bay - John St - Employment Services,807-630-6420,https://www.ontario.ca/page/people-disabilities
"Employment Resource Centre 90 Anemki Dr, Suite 200, Fort William First Nation, ON P7J 1L3",Fort William First Nation,Fort William First Nation - Employment Resource Centre - Employment and Training,807-622-6791,https://www.ontario.ca/page/people-disabilities
"26 Young St, Red Lake, ON P0V 2M0",Red Lake,Harmony Centre for Community Living - Red Lake - Client Services Program,807-727-2828,https://www.ontario.ca/page/people-disabilities
"212 Miles St E Suite 103, Thunder Bay, ON P7C 1J6",Thunder Bay,Independent Living Resource Centre Thunder Bay - Employment Supports,807-577-6166,https://www.ontario.ca/page/people-disabilities
"501 Eighth Ave S, Kenora, ON P9N 3Z9",Kenora,Kenora Association for Community Living - Employment Services,807-467-5225,https://www.ontario.ca/page/people-disabilities
"237 Camelot St, Thunder Bay, ON P7A 4B2",Thunder Bay,March of Dimes Canada - Thunder Bay - Integrated Employment Services,807-345-6595,https://www.ontario.ca/page/people-disabilities
"34B King St, Dryden, ON P8N 1B3",Dryden,Métis Nation of Ontario - Northwest Métis Council - Employment and Training,807-223-4535,https://www.ontario.ca/page/people-disabilities
"426 Victoria Ave, Fort Frances, ON P9A 2C3",Fort Frances,Métis Nation of Ontario - Sunset Country Métis Council - Employment and Training,1-800-263-4889 Ext 7,https://www.ontario.ca/page/people-disabilities
"226 May St S, Thunder Bay, ON P7E 1B4",Thunder Bay,Métis Nation of Ontario - Thunder Bay Métis Council - Employment and Training,613-798-1488,https://www.ontario.ca/page/people-disabilities
"720 Robertson St, Kenora, ON L3R 6J2",Kenora,Ontario Disability Support Program - Northern Ontario - Kenora,807-468-2400,https://www.ontario.ca/page/people-disabilities
"435 James St S 1st Fl, Suite 111, Thunder Bay, ON L3R 6J2",Thunder Bay,Ontario Disability Support Program - Northern Ontario - Thunder Bay,807-473-3130,https://www.ontario.ca/page/people-disabilities
"1929 Bayview Ave, Toronto, ON M4G 3E8",Toronto,CNIB - Come To Work,416-486-2500,https://www.ontario.ca/page/people-disabilities
"438 University Ave, 7th Fl, Toronto, ON M5G 2K8",Toronto,"Ontario. Ministry of Children, Community and Social Services - Ontario Disability Support Program",416-325-5666 / 416-325-5225,https://www.ontario.ca/page/people-disabilities
"201-1 Valleybrook Drive, M3B 2S7",Toronto,Community Living Ontario,(416) 447-4348,https://hungerhub.com/city/toronto
Ottawa - Constellation Dr - Mailing Address,Ottawa,Housing Services for Homeless People,1-866-261-9799,https://www.eventsource.ca/caterers/full-service-caterers
"Brockville - Central Ave, Brockville, ON, K6V 4N6",Brockville,"Ontario Works, Brockville - Central Ave",1-800-267-8146,https://www.eventsource.ca/caterers/full-service-caterers
"Smiths Falls, ON, K7A 5L3",Smiths Falls,"Ontario Disability Support Program, Smiths Falls",613-283-1165,https://www.eventsource.ca/caterers/full-service-caterers
"Gananoque, ON, K7G 1T2",Gananoque,"Leeds and Grenville. Community and Social Services, Gananoque",613-382-8220,https://www.eventsource.ca/caterers/full-service-caterers
"Brockville, ON, K6V 4N6",Brockville,Leeds and Grenville. Community and Social Services - Brockville,613-342-3840,https://www.eventsource.ca/caterers/full-service-caterers
"Smiths Falls, ON, K7A 1W3",Smiths Falls,Lanark (County of). Administration - Ontario Works (Smiths Falls),613-267-4200,https://www.eventsource.ca/caterers/full-service-caterers
"Perth, ON, K7H 2P1",Perth,"Community and Family Services, Perth (The Salvation Army)",613-267-6260,https://www.eventsource.ca/caterers/full-service-caterers
"North Dundas, ON, K0C 2K0",Winchester,Ontario Works - Winchester (Cornwall City of Human Services Department),613-448-3987,https://www.eventsource.ca/caterers/full-service-caterers
"362 Montreal St, 2nd Flr, Kingston, ON, K7K 3H5",Kingston,"Ontario Works - Housing & Social Services Department, Kingston - 362 Montreal St, 2nd Flr",613-546-2695,https://www.eventsource.ca/caterers/full-service-caterers
"Kingston City Hall, Kingston, ON, K7L 2Z3",Kingston,"Corporate Services Department, Financial Services, Property Tax - Tax Assistance Programs (Kingston City Hall)",613-546-4291 ext 2015,https://www.eventsource.ca/caterers/full-service-caterers
"Sydenham Satellite Office, South Frontenac, ON, K0H 2T0",South Frontenac,"Ontario Works - Housing & Social Services Department, South Frontenac - Sydenham Satellite Office",613-376-6477,https://www.eventsource.ca/caterers/full-service-caterers
"Sharbot Lake Satellite Office, Central Frontenac, ON, K0H 2P0",Central Frontenac,"Ontario Works - Housing & Social Services Department, North Frontenac - Sharbot Lake Satellite Office",613-279-3151,https://www.eventsource.ca/caterers/full-service-caterers
"Amherstview, K7N 1B4",Loyalist,Prince Edward-Lennox & Addington Social Services - Ontario Works,613-389-2820,https://www.eventsource.ca/caterers/full-service-caterers
"1403 King Street East, Unit 6, Courtice, ON L1E 2J6",Courtice,Agilec Admin/Corporate Office,1-800-361-4642,https://encorecatering.com/toronto-event-catering/
"335 Evans Ave., Toronto, Ontario, M8Z 1K2",Toronto,Crazy Catering,(416) 340-1442,https://www.eventsource.ca/venues/social-venues/social-venues-that-allow-outside-catering?page=4
2770 Plymouth Dr,Oakville,Go Integrated Group of Companies (Go Logistics),+1-905-813-2188,https://eoworks.ca/about-us/service-providers/
"520 Sutherland Drive, Toronto, Ontario M4G 3V9",Toronto,Accessible Employment Services,416-422-5644,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1600 Carling Avenue, Ottawa, Ontario K1Z 1G3",Ottawa,Acclaim Ability Management,613-247-3010,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"263 Queen Street East, Unit 14, Brampton, Ontario L6W WK6",Brampton,Achēv,905-595-0722,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"7420 Airport Road, Suite 104, Mississauga, Ontario L4T 4E5",Mississauga,Achēv,905-677-0007,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"420 Hwy 7 East #204B, Richmond Hill, ON L4B 3K2",Richmond Hill,Achēv,855-330-8655,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"29 Connell Court, Unit 3., Toronto, Ontario M8Z 5T7",Toronto,Brands for Canada (EDGE Program),416-703-8435,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1867 Yonge Street, Suite 906, Toronto, Ontario M4S 1Y5",Toronto,Canadian Council on Rehabilitation and Work,1-800-664-0925,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"271 Spadina Road, Toronto, Ontario M5R 2V3",Toronto,Canadian Hearing Services,1-866-518-0000,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1541 Merivale Road, Unit C, Nepean, Ontario K2G 5W1",Ottawa,Canadian Hearing Services,877-518-0000,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2 County Court Blvd, Suite 302, Brampton, ON L6W 3W8",Brampton,CBI Health,905-455-8083,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"676, rue principale, Casselman, Ontario K0A 1M0",Casselman,Centre de services à l’emploi de Prescott-Russell Inc,613-632-0179,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"370 Catherine Street, Ottawa, Ontario K1R 5T5",Ottawa,City of Ottawa,613-580-2424,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"6695 Millcreek Drive, Unit 1, Mississauga, Ontario L5N 5R8",Mississauga,Community Living Mississauga,905-542-2694,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"50 Fairfax Cresent, Scarborough, Ontario M1L 1Z8",Scarborough,Community Living Toronto,416-750-0666,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"20 Spadaina Road, Toronto, Ontario M5R 2S7",Toronto,Community Living Toronto,416-968-0650,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1122 Finch Avenue West, Unit 18, Toronto, Ontario M3J 3J5",Toronto,Community Living Toronto,416-225-7166,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"65 The East Mall, Etobicoke, Ontario M8Z 5W3",Etobicoke,Community Living Toronto,416-236-7621,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"2100 Ellesmere Road, Unit 109 (Ground Floor), Toronto, Ontario M1H 3B7",Toronto,Community Outreach Canada,416-271-9916,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"300 Supertest Road, Unit 4, North York, Ontario M3J 2M2",North York,Corbrook,416-245-5565,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"191 King Street East, Prescott, Ontario K0E 1T0",Prescott,CSE Consulting,613-925-0222,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"125 Prescott Street, Unit 3/4, Kemptville, Ontario K0G 1J0",Kemptville,CSE Consulting,613-258-6576,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"5000 Yonge Street, Suite 1901, Toronto ON M2N 7E9",Toronto,CVE Inc.,1-888-862-3825,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1547 Merivale Road, Suite 420, Ottawa, Ontario K2G 4V3",Ottawa,CVE Inc.,613-237-7368,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"105 Strowger Boulevard, Box 191, Brockville, Ontario K6V 5V2",Brockville,Employment + Education Centre,613-498-2111,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1425 Bayview Avenue, Suite 101, Toronto, Ontario M4G 3A9",Toronto,Epilepsy Toronto,416-964-9095,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"5975 Whittle Road, Suite 300, Mississauga, Ontario L4Z 3N1",Mississauga,Family Services of Peel,905-366-0322,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
"1325 Eglinton Avenue East, Unit 213, Mississauga, Ontario L4W 4L9",Mississauga,Job Skills,905-453-7896,https://eopg.labour.gov.on.ca/en/programs/integrated-employment-services/questions-and-answers/program-overview/
